FileNum,Date,Time,Size,FileName,RelPath,AbsPath,Code
1,09/05/2013,09:24 PM,11250,$savepcb.brd,\AudioAmp386\AudioAmp386-V2,C:\Users\Doug\Documents\DougsPCBDesigns\AudioAmp386\AudioAmp386-V2,name/size/path match
2,03/23/2013,11:59 PM,11250,$savepcb.brd,\AudioAmp386\AudioAmp386-V2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\AudioAmp386\AudioAmp386-V2,name/size/path match
1,09/05/2013,09:24 PM,17955,$savepcb.brd,\BrBdPwrSply,C:\Users\Doug\Documents\DougsPCBDesigns\BrBdPwrSply,name/size/path match
2,03/23/2013,11:59 PM,17955,$savepcb.brd,\BrBdPwrSply,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\BrBdPwrSply,name/size/path match
1,09/05/2013,09:24 PM,17955,$savepcb.brd,\BrBdPwrSply\BrBdPwrSplyV1,C:\Users\Doug\Documents\DougsPCBDesigns\BrBdPwrSply\BrBdPwrSplyV1,name/size/path match
2,03/23/2013,11:59 PM,17955,$savepcb.brd,\BrBdPwrSply\BrBdPwrSplyV1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\BrBdPwrSply\BrBdPwrSplyV1,name/size/path match
1,09/05/2013,09:24 PM,8564,$savepcb.brd,\DS18S20-LDR,C:\Users\Doug\Documents\DougsPCBDesigns\DS18S20-LDR,name/size/path match
2,03/23/2013,11:59 PM,8564,$savepcb.brd,\DS18S20-LDR,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\DS18S20-LDR,name/size/path match
1,09/05/2013,09:24 PM,28435,$savepcb.brd,\FTDI-USB-TTL\FTDI-USB-TTL v2,C:\Users\Doug\Documents\DougsPCBDesigns\FTDI-USB-TTL\FTDI-USB-TTL v2,name/size/path match
2,03/23/2013,11:59 PM,28435,$savepcb.brd,\FTDI-USB-TTL\FTDI-USB-TTL v2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\FTDI-USB-TTL\FTDI-USB-TTL v2,name/size/path match
1,09/05/2013,09:25 PM,132435,$savepcb.brd,\GVSDuino\GVSDuino-V1,C:\Users\Doug\Documents\DougsPCBDesigns\GVSDuino\GVSDuino-V1,name/size/path match
2,03/23/2013,11:59 PM,132435,$savepcb.brd,\GVSDuino\GVSDuino-V1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\GVSDuino\GVSDuino-V1,name/size/path match
1,09/05/2013,09:25 PM,132435,$savepcb.brd,\GVSDuino\GVSDuino-X2,C:\Users\Doug\Documents\DougsPCBDesigns\GVSDuino\GVSDuino-X2,name/size/path match
2,03/23/2013,11:59 PM,132435,$savepcb.brd,\GVSDuino\GVSDuino-X2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\GVSDuino\GVSDuino-X2,name/size/path match
1,09/05/2013,09:25 PM,20956,$savepcb.brd,\HVDigitalPot2A,C:\Users\Doug\Documents\DougsPCBDesigns\HVDigitalPot2A,name/size/path match
2,03/23/2013,11:59 PM,20956,$savepcb.brd,\HVDigitalPot2A,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\HVDigitalPot2A,name/size/path match
1,09/05/2013,09:25 PM,30724,$savepcb.brd,\HVDigitalPot\HVPotV1,C:\Users\Doug\Documents\DougsPCBDesigns\HVDigitalPot\HVPotV1,name/size/path match
2,03/23/2013,11:59 PM,30724,$savepcb.brd,\HVDigitalPot\HVPotV1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\HVDigitalPot\HVPotV1,name/size/path match
1,09/05/2013,09:25 PM,91515,$savepcb.brd,\I2C16Bit,C:\Users\Doug\Documents\DougsPCBDesigns\I2C16Bit,name/size/path match
2,03/23/2013,11:59 PM,91515,$savepcb.brd,\I2C16Bit,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\I2C16Bit,name/size/path match
1,09/05/2013,09:25 PM,91515,$savepcb.brd,\I2C16Bit\I2C16BitV2,C:\Users\Doug\Documents\DougsPCBDesigns\I2C16Bit\I2C16BitV2,name/size/path match
